SlNo.,merchant_name,direction,lane,tag_id,vehicle_regn_number,txn_amount,initiated_time,inn_rr_time_sec,vehicle_class_code,vehicle_comvehicle,geocode,merchant_sub_type,city,state
1,Bannerghatta Road (P2) Plaza,S,P2BX2,HXYUH,YFUNB,225,00-01-1900 21:54,994,VC4,F,"12.850056,77.588333",State,Bengaluru,Karnataka
2,Bannerghatta Road (P2) Plaza,S,P2BX2,JGEFQ,GQHLZ,225,00-01-1900 18:59,4528,VC20,T,"12.850056,77.588333",State,Bengaluru,Karnataka
3,Bannerghatta Road (P2) Plaza,S,P2BX2,VOAPH,DNTMI,150,00-01-1900 00:14,134,VC5,F,"12.850056,77.588333",State,Bengaluru,Karnataka
7,Bannerghatta Road (P2) Plaza,S,P2BX1,GQPFL,SOQCV,225,00-01-1900 20:23,3803,VC4,F,"12.850056,77.588333",State,Bengaluru,Karnataka
9,Bannerghatta Road (P2) Plaza,S,P2BX1,KEFZB,QPQFJ,225,00-01-1900 21:18,2535,VC4,F,"12.850056,77.588333",State,Bengaluru,Karnataka
12,Bannerghatta Road (P2) Plaza,S,P2BX2,QIZFU,TPSVZ,60,00-01-1900 17:21,5735,VC4,F,"12.850056,77.588333",State,Bengaluru,Karnataka
13,Bannerghatta Road (P2) Plaza,S,P2AX1,ZBMUO,WRXXN,60,00-01-1900 17:43,5379,VC4,F,"12.850056,77.588333",State,Bengaluru,Karnataka
14,Bannerghatta Road (P2) Plaza,S,P2BX4,LZENF,HXCQR,110,00-01-1900 07:55,636,VC4,T,"12.850056,77.588333",State,Bengaluru,Karnataka
20,Bannerghatta Road (P2) Plaza,S,P2BX1,UEWEX,XPVWH,45,00-01-1900 16:03,143931,VC4,F,"12.850056,77.588333",State,Bengaluru,Karnataka
21,Bannerghatta Road (P2) Plaza,S,P2AX1,URAIT,KEXHE,60,00-01-1900 16:23,6786,VC4,F,"12.850056,77.588333",State,Bengaluru,Karnataka
26,Bannerghatta Road (P2) Plaza,S,P2BX1,LAXXG,KTXOQ,45,00-01-1900 01:09,153181,VC4,F,"12.850056,77.588333",State,Bengaluru,Karnataka
27,Bannerghatta Road (P2) Plaza,S,P2BX2,UEWEX,XPVWH,45,00-01-1900 02:24,113013,VC4,F,"12.850056,77.588333",State,Bengaluru,Karnataka
28,Bannerghatta Road (P2) Plaza,S,P2BX4,LELWV,DROSV,45,00-01-1900 10:30,180,VC4,F,"12.850056,77.588333",State,Bengaluru,Karnataka
30,Bannerghatta Road (P2) Plaza,S,P2BX2,GOUCB,KYQPR,150,00-01-1900 19:21,4359,VC4,F,"12.850056,77.588333",State,Bengaluru,Karnataka
31,Bannerghatta Road (P2) Plaza,S,P2BX2,DHSRS,HLTME,150,00-01-1900 07:24,114,VC4,F,"12.850056,77.588333",State,Bengaluru,Karnataka
32,Bannerghatta Road (P2) Plaza,S,P2BX1,RMZEL,ZBUDK,188,00-01-1900 16:45,6408,VC10,T,"12.850056,77.588333",State,Bengaluru,Karnataka
33,Bannerghatta Road (P2) Plaza,S,P2BX1,PDZPD,JVCWI,150,00-01-1900 19:51,4079,VC4,F,"12.850056,77.588333",State,Bengaluru,Karnataka
37,Bannerghatta Road (P2) Plaza,S,P2AX1,FVKQS,IBUXY,60,00-01-1900 11:06,225,VC4,F,"12.850056,77.588333",State,Bengaluru,Karnataka
38,Bannerghatta Road (P2) Plaza,S,P2AX1,RJBHT,ASATE,60,00-01-1900 01:25,115626,VC4,F,"12.850056,77.588333",State,Bengaluru,Karnataka
40,Bannerghatta Road (P2) Plaza,S,P2AX1,LCNZY,KSYEY,60,00-01-1900 18:29,4659,VC4,F,"12.850056,77.588333",State,Bengaluru,Karnataka
41,Bannerghatta Road (P2) Plaza,S,P2AX1,IINPL,DQKDR,60,00-01-1900 14:08,72905,VC4,F,"12.850056,77.588333",State,Bengaluru,Karnataka
43,Bannerghatta Road (P2) Plaza,S,P2BX2,WNCFB,WHUKU,150,00-01-1900 10:18,159,VC20,T,"12.850056,77.588333",State,Bengaluru,Karnataka
44,Bannerghatta Road (P2) Plaza,S,P2BX1,LZHDA,CJEFN,110,00-01-1900 19:07,4395,VC4,F,"12.850056,77.588333",State,Bengaluru,Karnataka
53,Bannerghatta Road (P2) Plaza,S,P2BX4,RPAYL,XMEMZ,1275,00-01-1900 08:51,138,VC13,T,"12.850056,77.588333",State,Bengaluru,Karnataka
54,Bannerghatta Road (P2) Plaza,S,P2AX1,IADSR,EOHKG,60,00-01-1900 18:29,4738,VC20,T,"12.850056,77.588333",State,Bengaluru,Karnataka
55,Bannerghatta Road (P2) Plaza,S,P2AX1,LXJNC,VOYRP,60,00-01-1900 18:17,4782,VC4,F,"12.850056,77.588333",State,Bengaluru,Karnataka
56,Bannerghatta Road (P2) Plaza,S,P2BX2,YUWHL,BJPTV,175,00-01-1900 08:51,165,VC20,T,"12.850056,77.588333",State,Bengaluru,Karnataka
66,Bannerghatta Road (P2) Plaza,S,P2AX1,KVRQR,HOWJD,60,00-01-1900 21:41,1578,VC4,T,"12.850056,77.588333",State,Bengaluru,Karnataka
70,Bannerghatta Road (P2) Plaza,S,P2AX1,JBYRQ,ZATLP,60,00-01-1900 21:28,2232,VC4,F,"12.850056,77.588333",State,Bengaluru,Karnataka
71,Bannerghatta Road (P2) Plaza,S,P2AX1,WQWHP,JBXSA,250,00-01-1900 07:03,56,VC12,T,"12.850056,77.588333",State,Bengaluru,Karnataka
74,Bannerghatta Road (P2) Plaza,S,P2AX1,XDVFO,SXTTD,60,00-01-1900 20:27,5291,VC4,F,"12.850056,77.588333",State,Bengaluru,Karnataka
76,Bannerghatta Road (P2) Plaza,S,P2BX2,MIYTP,LKETV,150,00-01-1900 07:40,185,VC4,F,"12.850056,77.588333",State,Bengaluru,Karnataka
81,Bannerghatta Road (P2) Plaza,S,P2BX1,GUWEW,MQGGP,45,00-01-1900 16:44,106478,VC4,F,"12.850056,77.588333",State,Bengaluru,Karnataka
83,Bannerghatta Road (P2) Plaza,S,P2BX1,YWNPD,EYLZK,110,00-01-1900 17:41,5406,VC4,F,"12.850056,77.588333",State,Bengaluru,Karnataka
88,Bannerghatta Road (P2) Plaza,S,P2BX1,WNUAV,ONVBG,225,00-01-1900 16:33,102545,VC4,F,"12.850056,77.588333",State,Bengaluru,Karnataka
90,Bannerghatta Road (P2) Plaza,S,P2BX1,MJNVD,JHRZS,110,00-01-1900 01:08,101398,VC4,F,"12.850056,77.588333",State,Bengaluru,Karnataka
92,Bannerghatta Road (P2) Plaza,S,P2BX2,NZHCL,HUUBS,150,00-01-1900 14:19,11127,VC4,T,"12.850056,77.588333",State,Bengaluru,Karnataka
93,Bannerghatta Road (P2) Plaza,S,P2BX2,TTVGC,ZOQRE,190,00-01-1900 16:51,6386,VC5,T,"12.850056,77.588333",State,Bengaluru,Karnataka
94,Bannerghatta Road (P2) Plaza,S,P2AX1,AQSTO,MNEKZ,65,00-01-1900 20:39,3566,VC5,T,"12.850056,77.588333",State,Bengaluru,Karnataka
95,Bannerghatta Road (P2) Plaza,S,P2BX2,TGMAT,UJINW,175,00-01-1900 06:04,128,VC4,F,"12.850056,77.588333",State,Bengaluru,Karnataka
96,Bannerghatta Road (P2) Plaza,S,P2AX1,FGSRD,NPFND,60,00-01-1900 13:52,89226,VC4,F,"12.850056,77.588333",State,Bengaluru,Karnataka
97,Bannerghatta Road (P2) Plaza,S,P2BX2,OSRLV,SDGDY,110,00-01-1900 21:01,3182,VC4,F,"12.850056,77.588333",State,Bengaluru,Karnataka
100,Bannerghatta Road (P2) Plaza,S,P2BX2,PRKVB,VSMJT,80,00-01-1900 09:12,113,VC4,F,"12.850056,77.588333",State,Bengaluru,Karnataka
101,Bannerghatta Road (P2) Plaza,S,P2AX1,UZSPC,BODRN,60,00-01-1900 20:02,3973,VC4,F,"12.850056,77.588333",State,Bengaluru,Karnataka
103,Bannerghatta Road (P2) Plaza,S,P2BX2,NXPEQ,QFUNS,150,00-01-1900 15:47,7430,VC4,F,"12.850056,77.588333",State,Bengaluru,Karnataka
105,Bannerghatta Road (P2) Plaza,S,P2BX2,KIHRP,JOBKF,150,00-01-1900 01:28,208,VC4,F,"12.850056,77.588333",State,Bengaluru,Karnataka
108,Bannerghatta Road (P2) Plaza,S,P2BX2,NOJBN,VBHYB,45,00-01-1900 20:03,3943,VC4,F,"12.850056,77.588333",State,Bengaluru,Karnataka
109,Bannerghatta Road (P2) Plaza,S,P2BX4,FAVQZ,QVLQG,225,00-01-1900 15:17,8396,VC4,F,"12.850056,77.588333",State,Bengaluru,Karnataka
110,Bannerghatta Road (P2) Plaza,S,P2BX1,OICEC,TAVXM,150,00-01-1900 16:41,113627,VC4,F,"12.850056,77.588333",State,Bengaluru,Karnataka
111,Bannerghatta Road (P2) Plaza,S,P2BX2,VNDBZ,YVNHY,150,00-01-1900 08:51,52,VC5,T,"12.850056,77.588333",State,Bengaluru,Karnataka
112,Bannerghatta Road (P2) Plaza,S,P2AX1,KKACH,DJSCH,250,00-01-1900 13:42,85207,VC13,T,"12.850056,77.588333",State,Bengaluru,Karnataka
114,Bannerghatta Road (P2) Plaza,S,P2BX1,IJNCV,BSVLS,240,00-01-1900 15:05,8546,VC5,T,"12.850056,77.588333",State,Bengaluru,Karnataka
115,Bannerghatta Road (P2) Plaza,S,P2AX1,VXMQZ,UTTUI,60,00-01-1900 01:25,175936,VC4,F,"12.850056,77.588333",State,Bengaluru,Karnataka
116,Bannerghatta Road (P2) Plaza,S,P2BX1,NVOGS,ZMURQ,405,00-01-1900 16:21,107093,VC10,T,"12.850056,77.588333",State,Bengaluru,Karnataka
118,Bannerghatta Road (P2) Plaza,S,P2AX1,LXXOE,DKWDW,60,00-01-1900 17:13,6084,VC4,F,"12.850056,77.588333",State,Bengaluru,Karnataka
122,Bannerghatta Road (P2) Plaza,S,P2BX2,QLOJW,JHUGW,225,00-01-1900 21:36,1640,VC4,F,"12.850056,77.588333",State,Bengaluru,Karnataka
124,Bannerghatta Road (P2) Plaza,S,P2BX2,EGLCR,HNOVG,150,00-01-1900 10:00,120,VC4,F,"12.850056,77.588333",State,Bengaluru,Karnataka
126,Bannerghatta Road (P2) Plaza,S,P2BX1,PAXSB,HPVLA,264,00-01-1900 18:23,4697,VC10,T,"12.850056,77.588333",State,Bengaluru,Karnataka
127,Bannerghatta Road (P2) Plaza,S,P2BX2,TZULV,FIXNS,240,00-01-1900 05:58,152,VC5,F,"12.850056,77.588333",State,Bengaluru,Karnataka
