SlNo.,merchant_name,direction,lane,tag_id,vehicle_regn_number,txn_amount,initiated_time,inn_rr_time_sec,vehicle_class_code,vehicle_comvehicle,geocode,merchant_sub_type,city,state
2755,Hosur Road (P1) Toll,S,P1X4,CRBFV,BMZXY,1100,00-01-1900 22:38,107,VC12,T,"12.858667,77.655833",State,Bengaluru,Karnataka
2756,Hosur Road (P1) Toll,S,P1X4,VLHJM,MHRFN,210,00-01-1900 00:18,94,VC4,F,"12.858667,77.655833",State,Bengaluru,Karnataka
2757,Hosur Road (P1) Toll,S,P1X2,TEWLR,DKITM,285,00-01-1900 17:56,2323,VC20,T,"12.858667,77.655833",State,Bengaluru,Karnataka
2758,Hosur Road (P1) Toll,S,P1X4,YOPRX,GZDHM,285,00-01-1900 02:22,91,VC4,F,"12.858667,77.655833",State,Bengaluru,Karnataka
2759,Hosur Road (P1) Toll,S,P1X4,FYBQS,TQLNO,60,00-01-1900 22:32,130199,VC4,T,"12.858667,77.655833",State,Bengaluru,Karnataka
2760,Hosur Road (P1) Toll,S,P1X2,GTWDN,PRWJN,60,00-01-1900 17:00,4580,VC4,F,"12.858667,77.655833",State,Bengaluru,Karnataka
2761,Hosur Road (P1) Toll,S,P1X4,CDAUN,VAMVL,180,00-01-1900 18:14,1877,VC5,T,"12.858667,77.655833",State,Bengaluru,Karnataka
2762,Hosur Road (P1) Toll,S,P1X5,ZTYZK,BBZZT,140,00-01-1900 21:42,107464,VC4,F,"12.858667,77.655833",State,Bengaluru,Karnataka
2763,Hosur Road (P1) Toll,S,P1X10,LYNAF,IOJFG,285,00-01-1900 09:39,341,VC4,F,"12.858667,77.655833",State,Bengaluru,Karnataka
2764,Hosur Road (P1) Toll,S,P1X10,TNKSI,MFIPM,60,00-01-1900 15:22,8502,VC4,F,"12.858667,77.655833",State,Bengaluru,Karnataka
3822,Hosur Road (P1) Toll,S,P1X5,SJBPD,GTHZP,285,00-01-1900 17:45,2656,VC4,F,"12.858667,77.655833",State,Bengaluru,Karnataka
3823,Hosur Road (P1) Toll,S,P1X5,RGVWG,AMRUF,1100,00-01-1900 19:02,194,VC12,T,"12.858667,77.655833",State,Bengaluru,Karnataka
3824,Hosur Road (P1) Toll,S,P1X5,UMJDQ,OOODC,60,00-01-1900 11:07,166,VC4,F,"12.858667,77.655833",State,Bengaluru,Karnataka
3825,Hosur Road (P1) Toll,S,P1X2,FRBVA,KGSXO,105,00-01-1900 08:10,155,VC4,F,"12.858667,77.655833",State,Bengaluru,Karnataka
3826,Hosur Road (P1) Toll,S,P1X9,FUCRN,NMGTV,285,00-01-1900 15:42,7363,VC4,F,"12.858667,77.655833",State,Bengaluru,Karnataka
3827,Hosur Road (P1) Toll,S,P1X5,YBORJ,BJCEI,60,00-01-1900 00:48,137079,VC4,F,"12.858667,77.655833",State,Bengaluru,Karnataka
