SlNo.,merchant_name,direction,lane,tag_id,vehicle_regn_number,txn_amount,initiated_time,inn_rr_time_sec,vehicle_class_code,vehicle_comvehicle,geocode,merchant_sub_type,city,state
4,Kadathanamale Toll Plaza,S,LANE09,XBANK,ZMAOY,35,00-01-1900 18:19,80,VC20,F,"13.2123515,77.5535138",state,Bangalore ,Karnataka
5,Kadathanamale Toll Plaza,S,LANE10,HMWDZ,IDSRZ,20,00-01-1900 15:03,64,VC4,F,"13.2123515,77.5535138",state,Bangalore ,Karnataka
6,Kadathanamale Toll Plaza,S,LANE10,HVCHD,KRUEP,20,00-01-1900 16:48,57,VC4,F,"13.2123515,77.5535138",state,Bangalore ,Karnataka
8,Kadathanamale Toll Plaza,S,LANE08,UYLIU,OOZLB,50,00-01-1900 06:13,80,VC4,F,"13.2123515,77.5535138",state,Bangalore ,Karnataka
10,Kadathanamale Toll Plaza,S,LANE09,CUKVL,YGJHG,50,00-01-1900 19:17,68,VC4,T,"13.2123515,77.5535138",state,Bangalore ,Karnataka
11,Kadathanamale Toll Plaza,N,LANE04,MJRQS,DRFRM,50,00-01-1900 08:39,547,VC4,F,"13.2123515,77.5535138",state,Bangalore ,Karnataka
15,Kadathanamale Toll Plaza,N,LANE07,ONXXX,RLCCB,50,00-01-1900 17:05,93,VC4,F,"13.2123515,77.5535138",state,Bangalore ,Karnataka
16,Kadathanamale Toll Plaza,N,LANE05,LOQTU,PLWUQ,50,00-01-1900 14:03,254,VC4,F,"13.2123515,77.5535138",state,Bangalore ,Karnataka
17,Kadathanamale Toll Plaza,N,LANE04,TGFVK,LSPRF,50,00-01-1900 13:39,530,VC4,F,"13.2123515,77.5535138",state,Bangalore ,Karnataka
18,Kadathanamale Toll Plaza,S,LANE08,OMUUW,ILGEB,80,00-01-1900 10:28,82,VC7,T,"13.2123515,77.5535138",state,Bangalore ,Karnataka
19,Kadathanamale Toll Plaza,N,LANE06,NAGCN,ZJZPF,50,00-01-1900 16:20,237,VC4,F,"13.2123515,77.5535138",state,Bangalore ,Karnataka
22,Kadathanamale Toll Plaza,S,LANE09,AWZRF,IINXC,50,00-01-1900 05:16,260,VC4,T,"13.2123515,77.5535138",state,Bangalore ,Karnataka
23,Kadathanamale Toll Plaza,N,LANE05,TGLSI,LQJRG,50,00-01-1900 16:33,140,VC4,F,"13.2123515,77.5535138",state,Bangalore ,Karnataka
24,Kadathanamale Toll Plaza,N,LANE07,RJNRG,DIVCG,35,00-01-1900 18:01,55,VC20,T,"13.2123515,77.5535138",state,Bangalore ,Karnataka
25,Kadathanamale Toll Plaza,S,LANE09,MDJXT,BUECU,50,00-01-1900 16:54,102,VC4,F,"13.2123515,77.5535138",state,Bangalore ,Karnataka
29,Kadathanamale Toll Plaza,N,LANE03,GXSYQ,XSJGK,50,00-01-1900 09:17,115,VC4,F,"13.2123515,77.5535138",state,Bangalore ,Karnataka
34,Kadathanamale Toll Plaza,S,LANE09,UXPLE,ZITAP,20,00-01-1900 23:15,152,VC4,F,"13.2123515,77.5535138",state,Bangalore ,Karnataka
35,Kadathanamale Toll Plaza,S,LANE12,AJYSF,FQDIF,50,00-01-1900 16:41,282,VC4,F,"13.2123515,77.5535138",state,Bangalore ,Karnataka
36,Kadathanamale Toll Plaza,N,LANE07,RWQCO,EUQJH,80,00-01-1900 09:00,67,VC5,T,"13.2123515,77.5535138",state,Bangalore ,Karnataka
39,Kadathanamale Toll Plaza,S,LANE09,UIEOZ,UYVKU,20,00-01-1900 23:34,119,VC4,F,"13.2123515,77.5535138",state,Bangalore ,Karnataka
