SlNo.,merchant_name,direction,lane,tag_id,vehicle_regn_number,txn_amount,initiated_time,inn_rr_time_sec,vehicle_class_code,vehicle_comvehicle,geocode,merchant_sub_type,city,state
241362,Kaniminike Toll Plaza,S,N6,AXKSK,NUBJA,170,00-01-1900 15:15,66,VC4,F,"12.859600, 77.431110",National,Bengaluru,Karnataka
241368,Kaniminike Toll Plaza,S,N7,GOTPA,CEDNV,910,00-01-1900 19:25,52,VC14,T,"12.859600, 77.431110",National,Bengaluru,Karnataka
241370,Kaniminike Toll Plaza,S,N10,IZKXM,RODEY,170,00-01-1900 12:07,36,VC4,F,"12.859600, 77.431110",National,Bengaluru,Karnataka
241383,Kaniminike Toll Plaza,S,N7,YYGGR,FXBRU,170,00-01-1900 08:23,66,VC4,F,"12.859600, 77.431110",National,Bengaluru,Karnataka
241387,Kaniminike Toll Plaza,S,N11,DWPSY,RXMPL,170,00-01-1900 09:55,62,VC4,F,"12.859600, 77.431110",National,Bengaluru,Karnataka
241392,Kaniminike Toll Plaza,S,N7,ALBWB,DXYVN,170,00-01-1900 21:36,47,VC4,F,"12.859600, 77.431110",National,Bengaluru,Karnataka
241393,Kaniminike Toll Plaza,S,N11,BMVMN,MVUWU,170,00-01-1900 09:15,36,VC4,F,"12.859600, 77.431110",National,Bengaluru,Karnataka
241396,Kaniminike Toll Plaza,S,N10,OWGYA,TGIUJ,170,00-01-1900 15:23,59,VC4,F,"12.859600, 77.431110",National,Bengaluru,Karnataka
241400,Kaniminike Toll Plaza,S,N2,SWKOG,THPMG,85,00-01-1900 22:56,61,VC4,T,"12.859600, 77.431110",National,Bengaluru,Karnataka
241406,Kaniminike Toll Plaza,S,N9,YQYCY,MLLGH,170,00-01-1900 11:10,55,VC4,F,"12.859600, 77.431110",National,Bengaluru,Karnataka
241414,Kaniminike Toll Plaza,S,N8,WVMHM,XROTG,170,00-01-1900 09:13,46,VC4,F,"12.859600, 77.431110",National,Bengaluru,Karnataka
241419,Kaniminike Toll Plaza,S,N10,HTKWB,BXODS,170,00-01-1900 11:42,48,VC4,F,"12.859600, 77.431110",National,Bengaluru,Karnataka
241426,Kaniminike Toll Plaza,S,N8,VFCCR,KSKZV,170,00-01-1900 12:41,56,VC4,F,"12.859600, 77.431110",National,Bengaluru,Karnataka
241435,Kaniminike Toll Plaza,S,N7,EOFVP,TCWOS,170,00-01-1900 12:29,56,VC4,F,"12.859600, 77.431110",National,Bengaluru,Karnataka
241436,Kaniminike Toll Plaza,S,N3,FHGXL,PTOUY,85,00-01-1900 16:24,59,VC4,T,"12.859600, 77.431110",National,Bengaluru,Karnataka
241443,Kaniminike Toll Plaza,S,N9,COPZP,VGHQX,170,00-01-1900 11:17,41,VC4,F,"12.859600, 77.431110",National,Bengaluru,Karnataka
241453,Kaniminike Toll Plaza,S,N7,AFFVV,BLORR,85,00-01-1900 06:58,39,VC4,F,"12.859600, 77.431110",National,Bengaluru,Karnataka
241455,Kaniminike Toll Plaza,S,N3,GTQRT,KANCD,170,00-01-1900 16:25,48,VC4,F,"12.859600, 77.431110",National,Bengaluru,Karnataka
241458,Kaniminike Toll Plaza,S,N8,XDREG,PVRGJ,580,00-01-1900 13:04,51,VC7,T,"12.859600, 77.431110",National,Bengaluru,Karnataka
241461,Kaniminike Toll Plaza,S,N8,JBOHE,GAXZD,635,00-01-1900 06:46,63,VC11,T,"12.859600, 77.431110",National,Bengaluru,Karnataka
241462,Kaniminike Toll Plaza,S,N9,PADTV,SFMME,170,00-01-1900 14:30,66,VC4,F,"12.859600, 77.431110",National,Bengaluru,Karnataka
241466,Kaniminike Toll Plaza,S,N3,SFROD,SUPNQ,140,00-01-1900 11:09,48,VC5,T,"12.859600, 77.431110",National,Bengaluru,Karnataka
241469,Kaniminike Toll Plaza,S,N11,APXAK,MEPPK,910,00-01-1900 21:52,63,VC12,T,"12.859600, 77.431110",National,Bengaluru,Karnataka
