SlNo.,merchant_name,direction,lane,tag_id,vehicle_regn_number,txn_amount,initiated_time,inn_rr_time_sec,vehicle_class_code,vehicle_comvehicle,geocode,merchant_sub_type,city,state
13207,Laxamannath Plaza,S,7,DSHKD,REGLR,265,00-01-1900 18:50,222,VC10,T,"13.193545,77.64981",National,Bangalore Rural,Karnataka
13208,Laxamannath Plaza,S,6,KHIWM,WOFEF,265,00-01-1900 08:20,215,VC10,T,"13.193545,77.64981",National,Bangalore Rural,Karnataka
13209,Laxamannath Plaza,N,3,UGBDS,XATTO,80,00-01-1900 17:04,202,VC4,F,"13.193545,77.64981",National,Bangalore Rural,Karnataka
13210,Laxamannath Plaza,S,7,DTSRJ,SZIDC,80,00-01-1900 18:30,203,VC20,T,"13.193545,77.64981",National,Bangalore Rural,Karnataka
13211,Laxamannath Plaza,N,5,QRUHW,PPVMG,80,00-01-1900 14:34,208,VC4,F,"13.193545,77.64981",National,Bangalore Rural,Karnataka
13212,Laxamannath Plaza,S,6,WSXBS,VIOUF,265,00-01-1900 07:24,207,VC10,T,"13.193545,77.64981",National,Bangalore Rural,Karnataka
13213,Laxamannath Plaza,S,7,WOITR,LIPBJ,415,00-01-1900 05:43,205,VC13,T,"13.193545,77.64981",National,Bangalore Rural,Karnataka
13214,Laxamannath Plaza,S,8,KPMAR,AWXYW,290,00-01-1900 15:58,214,VC11,T,"13.193545,77.64981",National,Bangalore Rural,Karnataka
13215,Laxamannath Plaza,N,1,PVMQD,CQESE,40,00-01-1900 15:09,394,VC4,F,"13.193545,77.64981",National,Bangalore Rural,Karnataka
13216,Laxamannath Plaza,S,8,JDBDN,XYQUN,415,00-01-1900 15:10,271,VC12,T,"13.193545,77.64981",National,Bangalore Rural,Karnataka
13217,Laxamannath Plaza,S,8,IYRIY,TBZDQ,80,00-01-1900 17:04,231,VC4,F,"13.193545,77.64981",National,Bangalore Rural,Karnataka
13218,Laxamannath Plaza,S,10,XCCMQ,RPFUN,80,00-01-1900 10:43,222,VC4,F,"13.193545,77.64981",National,Bangalore Rural,Karnataka
13219,Laxamannath Plaza,S,9,MTHWE,RBTQE,80,00-01-1900 13:43,223,VC4,F,"13.193545,77.64981",National,Bangalore Rural,Karnataka
13220,Laxamannath Plaza,N,1,UEEZT,BWWTG,290,00-01-1900 01:12,217,VC11,F,"13.193545,77.64981",National,Bangalore Rural,Karnataka
13221,Laxamannath Plaza,N,3,PZLWA,FOMWY,265,00-01-1900 02:40,230,VC10,F,"13.193545,77.64981",National,Bangalore Rural,Karnataka
13222,Laxamannath Plaza,N,5,GYYNK,LZCMN,265,00-01-1900 03:57,218,VC10,T,"13.193545,77.64981",National,Bangalore Rural,Karnataka
13223,Laxamannath Plaza,S,7,TMDUD,NCOUP,80,00-01-1900 18:51,205,VC20,T,"13.193545,77.64981",National,Bangalore Rural,Karnataka
13224,Laxamannath Plaza,N,3,NRMZU,XYTLE,265,00-01-1900 20:55,212,VC10,T,"13.193545,77.64981",National,Bangalore Rural,Karnataka
13225,Laxamannath Plaza,N,4,IUWBS,AXQRD,415,00-01-1900 21:58,221,VC12,T,"13.193545,77.64981",National,Bangalore Rural,Karnataka
13226,Laxamannath Plaza,S,7,BYAZF,KDGUS,65,00-01-1900 18:00,208,VC5,T,"13.193545,77.64981",National,Bangalore Rural,Karnataka
13227,Laxamannath Plaza,N,5,VEKBJ,MFPMO,265,00-01-1900 01:01,215,VC10,T,"13.193545,77.64981",National,Bangalore Rural,Karnataka
13228,Laxamannath Plaza,N,4,UVKJU,YIWZY,125,00-01-1900 12:51,212,VC5,T,"13.193545,77.64981",National,Bangalore Rural,Karnataka
13229,Laxamannath Plaza,S,6,XTOGI,VHTMX,80,00-01-1900 16:55,198,VC4,F,"13.193545,77.64981",National,Bangalore Rural,Karnataka
