SlNo.,merchant_name,direction,lane,tag_id,vehicle_regn_number,txn_amount,initiated_time,inn_rr_time_sec,vehicle_class_code,vehicle_comvehicle,geocode,merchant_sub_type,city,state
39678,Link Road (L1) Toll,S,L1X3,TILVR,UUKZJ,105,00-01-1900 10:22,411,VC4,F,"12.936583,77.531500",State,Bengaluru,Karnataka
39679,Link Road (L1) Toll,S,L1X4,ENXZD,AOZHH,105,00-01-1900 22:15,2508,VC4,F,"12.936583,77.531500",State,Bengaluru,Karnataka
39680,Link Road (L1) Toll,S,L1X4,WWMQY,WIFUH,820,00-01-1900 03:50,145,VC12,T,"12.936583,77.531500",State,Bengaluru,Karnataka
39681,Link Road (L1) Toll,S,L1X3,QQTOU,XWMFI,105,00-01-1900 20:41,126621,VC4,F,"12.936583,77.531500",State,Bengaluru,Karnataka
39682,Link Road (L1) Toll,S,L1X3,BJZGJ,AOFUU,70,00-01-1900 20:41,130217,VC4,F,"12.936583,77.531500",State,Bengaluru,Karnataka
39683,Link Road (L1) Toll,S,L1X4,DKDUB,MNQWT,820,00-01-1900 15:24,8352,VC12,T,"12.936583,77.531500",State,Bengaluru,Karnataka
39684,Link Road (L1) Toll,S,L1X3,BQERA,VHDUG,70,00-01-1900 09:49,71497,VC4,F,"12.936583,77.531500",State,Bengaluru,Karnataka
39685,Link Road (L1) Toll,S,L1X3,KPQVV,PEGXL,230,00-01-1900 07:58,65,VC5,T,"12.936583,77.531500",State,Bengaluru,Karnataka
40578,Link Road (L1) Toll,S,L1X4,QQOYF,MMSWU,210,00-01-1900 17:45,3177,VC4,F,"12.936583,77.531500",State,Bengaluru,Karnataka
40579,Link Road (L1) Toll,S,L1X3,DQNNY,HMCRS,210,00-01-1900 10:34,172,VC4,F,"12.936583,77.531500",State,Bengaluru,Karnataka
40580,Link Road (L1) Toll,S,L1X3,SYIWF,AZRQT,215,00-01-1900 15:03,8586,VC5,T,"12.936583,77.531500",State,Bengaluru,Karnataka
40581,Link Road (L1) Toll,S,L1X3,RYVLA,DUBXY,565,00-01-1900 05:55,194,VC7,T,"12.936583,77.531500",State,Bengaluru,Karnataka
40582,Link Road (L1) Toll,S,L1X5,TWJUW,PAYHJ,70,00-01-1900 15:05,8661,VC4,F,"12.936583,77.531500",State,Bengaluru,Karnataka
40583,Link Road (L1) Toll,S,L1X3,EEYKM,OHRLQ,70,00-01-1900 10:23,171779,VC4,F,"12.936583,77.531500",State,Bengaluru,Karnataka
40584,Link Road (L1) Toll,S,L1X5,RFDIV,IIDSB,210,00-01-1900 14:35,10260,VC4,T,"12.936583,77.531500",State,Bengaluru,Karnataka
40585,Link Road (L1) Toll,S,L1X4,ZAWOG,FYXAY,210,00-01-1900 15:02,8802,VC4,F,"12.936583,77.531500",State,Bengaluru,Karnataka
40586,Link Road (L1) Toll,S,L1X3,KIRGC,MQWUJ,70,00-01-1900 19:27,3693,VC4,T,"12.936583,77.531500",State,Bengaluru,Karnataka
40587,Link Road (L1) Toll,S,L1X4,LSGMW,FYZCV,105,00-01-1900 23:14,618,VC9,T,"12.936583,77.531500",State,Bengaluru,Karnataka
40588,Link Road (L1) Toll,S,L1X3,JZUBR,EULOU,150,00-01-1900 20:35,4317,VC4,F,"12.936583,77.531500",State,Bengaluru,Karnataka
40589,Link Road (L1) Toll,S,L1X5,UWSMY,GZAPW,215,00-01-1900 18:59,3552,VC4,F,"12.936583,77.531500",State,Bengaluru,Karnataka
40590,Link Road (L1) Toll,S,L1X3,LYSGO,ALPLL,70,00-01-1900 20:37,120194,VC4,F,"12.936583,77.531500",State,Bengaluru,Karnataka
40591,Link Road (L1) Toll,S,L1X3,HVGWY,QWCSD,210,00-01-1900 22:09,2936,VC20,T,"12.936583,77.531500",State,Bengaluru,Karnataka
40592,Link Road (L1) Toll,S,L1X3,NABVC,PPEES,565,00-01-1900 20:57,119152,VC7,T,"12.936583,77.531500",State,Bengaluru,Karnataka
40593,Link Road (L1) Toll,S,L1X3,PBFFS,FSLCB,210,00-01-1900 07:20,125,VC4,F,"12.936583,77.531500",State,Bengaluru,Karnataka
40594,Link Road (L1) Toll,S,L1X2,ZDTQT,JLARE,215,00-01-1900 18:41,3386,VC4,F,"12.936583,77.531500",State,Bengaluru,Karnataka
40595,Link Road (L1) Toll,S,L1X3,TEROE,EBEUH,100,00-01-1900 22:26,1137,VC4,F,"12.936583,77.531500",State,Bengaluru,Karnataka
40596,Link Road (L1) Toll,S,L1X3,IDMOC,SJXIF,70,00-01-1900 10:04,172789,VC4,F,"12.936583,77.531500",State,Bengaluru,Karnataka
40597,Link Road (L1) Toll,S,L1X3,YHNZL,IDNVT,100,00-01-1900 15:25,7378,VC10,T,"12.936583,77.531500",State,Bengaluru,Karnataka
40598,Link Road (L1) Toll,S,L1X3,HXJET,ZLZUO,70,00-01-1900 20:37,117722,VC4,F,"12.936583,77.531500",State,Bengaluru,Karnataka
40599,Link Road (L1) Toll,S,L1X3,YALYH,QMLYY,70,00-01-1900 21:19,103012,VC4,F,"12.936583,77.531500",State,Bengaluru,Karnataka
40600,Link Road (L1) Toll,S,L1X3,JQWUP,UGTAX,70,00-01-1900 08:28,117,VC4,F,"12.936583,77.531500",State,Bengaluru,Karnataka
40601,Link Road (L1) Toll,S,L1X3,RHDKW,IUROA,70,00-01-1900 20:07,94011,VC4,F,"12.936583,77.531500",State,Bengaluru,Karnataka
43687,Link Road (L1) Toll,S,L1X3,UXJNU,WVJHP,105,00-01-1900 23:28,1020,VC4,F,"12.936583,77.531500",State,Bengaluru,Karnataka
43688,Link Road (L1) Toll,S,L1X4,PFLDZ,NAMUF,105,00-01-1900 11:09,155701,VC4,F,"12.936583,77.531500",State,Bengaluru,Karnataka
43689,Link Road (L1) Toll,S,L1X3,YOITZ,VNNZX,105,00-01-1900 18:01,3111,VC4,F,"12.936583,77.531500",State,Bengaluru,Karnataka
43690,Link Road (L1) Toll,S,L1X3,GJAZM,JUQRR,150,00-01-1900 17:37,3432,VC4,T,"12.936583,77.531500",State,Bengaluru,Karnataka
43691,Link Road (L1) Toll,S,L1X3,YXMVC,MKTSI,210,00-01-1900 00:18,196,VC4,F,"12.936583,77.531500",State,Bengaluru,Karnataka
43692,Link Road (L1) Toll,S,L1X5,FHBYY,VCFAN,210,00-01-1900 14:43,9739,VC20,T,"12.936583,77.531500",State,Bengaluru,Karnataka
43693,Link Road (L1) Toll,S,L1X4,PBAHC,LVEIY,210,00-01-1900 11:00,189,VC4,T,"12.936583,77.531500",State,Bengaluru,Karnataka
43694,Link Road (L1) Toll,S,L1X3,TYOQI,BDPGA,285,00-01-1900 20:23,93530,VC14,T,"12.936583,77.531500",State,Bengaluru,Karnataka
43695,Link Road (L1) Toll,S,L1X3,SHVQN,ZGLNG,210,00-01-1900 15:24,8216,VC20,T,"12.936583,77.531500",State,Bengaluru,Karnataka
50637,Link Road (L1) Toll,S,L1X4,RTOUJ,TKTXI,100,00-01-1900 15:02,8952,VC4,F,"12.936583,77.531500",State,Bengaluru,Karnataka
50638,Link Road (L1) Toll,S,L1X4,SGFDV,NHKKM,210,00-01-1900 09:42,142026,VC4,F,"12.936583,77.531500",State,Bengaluru,Karnataka
50639,Link Road (L1) Toll,S,L1X3,ZNDUX,IPEJC,264,00-01-1900 11:34,170742,VC7,F,"12.936583,77.531500",State,Bengaluru,Karnataka
50640,Link Road (L1) Toll,S,L1X3,CZPWE,YNQSM,150,00-01-1900 18:35,3294,VC4,T,"12.936583,77.531500",State,Bengaluru,Karnataka
50641,Link Road (L1) Toll,S,L1X5,LSUQL,MLTIS,150,00-01-1900 17:21,3827,VC4,F,"12.936583,77.531500",State,Bengaluru,Karnataka
50642,Link Road (L1) Toll,S,L1X4,OIKBX,UDZHP,150,00-01-1900 11:32,97183,VC4,F,"12.936583,77.531500",State,Bengaluru,Karnataka
