SlNo.,merchant_name,direction,lane,tag_id,vehicle_regn_number,txn_amount,initiated_time,inn_rr_time_sec,vehicle_class_code,vehicle_comvehicle,geocode,merchant_sub_type,city,state
848,Magadi Road (P6) Plaza,S,P6AX1,VYTNY,AVLUS,235,00-01-1900 19:05,255,VC20,T,"12.989944,77.472444",State,Bengaluru,Karnataka
849,Magadi Road (P6) Plaza,S,P6BX1,LHUOC,FZWLQ,94,00-01-1900 14:52,11037,VC10,T,"12.989944,77.472444",State,Bengaluru,Karnataka
850,Magadi Road (P6) Plaza,S,P6BX1,ELKAK,PUXZY,50,00-01-1900 10:49,91835,VC20,T,"12.989944,77.472444",State,Bengaluru,Karnataka
851,Magadi Road (P6) Plaza,S,P6AX1,OXDGF,UGTFD,65,00-01-1900 19:46,101678,VC4,F,"12.989944,77.472444",State,Bengaluru,Karnataka
895,Magadi Road (P6) Plaza,S,P6BX1,XWECI,DZDTS,50,00-01-1900 17:17,2137,VC4,F,"12.989944,77.472444",State,Bengaluru,Karnataka
896,Magadi Road (P6) Plaza,S,P6BX1,DOVXT,OYIUV,50,00-01-1900 15:38,7457,VC4,F,"12.989944,77.472444",State,Bengaluru,Karnataka
897,Magadi Road (P6) Plaza,S,P6AX1,TTVGC,ZOQRE,190,00-01-1900 17:32,1335,VC5,T,"12.989944,77.472444",State,Bengaluru,Karnataka
898,Magadi Road (P6) Plaza,S,P6BX1,PMQCC,HHPRZ,50,00-01-1900 20:59,255,VC5,T,"12.989944,77.472444",State,Bengaluru,Karnataka
899,Magadi Road (P6) Plaza,S,P6AX1,ISUOC,LVFUW,65,00-01-1900 19:35,165,VC4,F,"12.989944,77.472444",State,Bengaluru,Karnataka
900,Magadi Road (P6) Plaza,S,P6AX1,HYCLY,GDUNY,65,00-01-1900 19:11,96,VC4,F,"12.989944,77.472444",State,Bengaluru,Karnataka
901,Magadi Road (P6) Plaza,S,P6AX1,JQBWH,ECBQR,50,00-01-1900 16:59,2612,VC4,F,"12.989944,77.472444",State,Bengaluru,Karnataka
902,Magadi Road (P6) Plaza,S,P6BX1,GYRGC,LCSSZ,50,00-01-1900 19:47,216,VC5,T,"12.989944,77.472444",State,Bengaluru,Karnataka
903,Magadi Road (P6) Plaza,S,P6AX1,VPIHU,TXOIA,95,00-01-1900 09:13,434,VC4,F,"12.989944,77.472444",State,Bengaluru,Karnataka
904,Magadi Road (P6) Plaza,S,P6AX1,HVFWX,PLIQJ,65,00-01-1900 08:37,225,VC4,F,"12.989944,77.472444",State,Bengaluru,Karnataka
905,Magadi Road (P6) Plaza,S,P6BX1,EFTPO,LWULY,100,00-01-1900 08:22,163240,VC11,T,"12.989944,77.472444",State,Bengaluru,Karnataka
906,Magadi Road (P6) Plaza,S,P6BX1,IEMHT,WXQMQ,50,00-01-1900 19:14,179,VC4,F,"12.989944,77.472444",State,Bengaluru,Karnataka
907,Magadi Road (P6) Plaza,S,P6BX1,LZOGD,POGDZ,50,00-01-1900 14:25,72109,VC4,F,"12.989944,77.472444",State,Bengaluru,Karnataka
2419,Magadi Road (P6) Plaza,S,P6BX1,QGDEK,ACHOB,50,00-01-1900 17:59,105090,VC5,T,"12.989944,77.472444",State,Bengaluru,Karnataka
2420,Magadi Road (P6) Plaza,S,P6BX1,GZNDK,ORHGX,50,00-01-1900 18:29,530,VC4,T,"12.989944,77.472444",State,Bengaluru,Karnataka
2421,Magadi Road (P6) Plaza,S,P6AX1,ELTSF,JDFZL,175,00-01-1900 07:28,198,VC4,F,"12.989944,77.472444",State,Bengaluru,Karnataka
2422,Magadi Road (P6) Plaza,S,P6BX1,YHLFQ,CHYSG,50,00-01-1900 15:47,7077,VC20,T,"12.989944,77.472444",State,Bengaluru,Karnataka
2423,Magadi Road (P6) Plaza,S,P6AX1,ZBHIP,HQBQC,235,00-01-1900 19:59,131,VC4,F,"12.989944,77.472444",State,Bengaluru,Karnataka
2424,Magadi Road (P6) Plaza,S,P6AX1,BMFDP,FJHXG,235,00-01-1900 17:17,2116,VC4,F,"12.989944,77.472444",State,Bengaluru,Karnataka
2425,Magadi Road (P6) Plaza,S,P6AX1,EFEUN,SGHQW,95,00-01-1900 09:51,246,VC4,F,"12.989944,77.472444",State,Bengaluru,Karnataka
2426,Magadi Road (P6) Plaza,S,P6BX1,HKPTO,IJZTW,50,00-01-1900 14:25,68232,VC5,T,"12.989944,77.472444",State,Bengaluru,Karnataka
2427,Magadi Road (P6) Plaza,S,P6BX1,ZRLCJ,EZBXP,94,00-01-1900 18:14,116644,VC10,T,"12.989944,77.472444",State,Bengaluru,Karnataka
2428,Magadi Road (P6) Plaza,S,P6AX1,HAVGG,ECIXW,175,00-01-1900 14:26,73046,VC20,T,"12.989944,77.472444",State,Bengaluru,Karnataka
2429,Magadi Road (P6) Plaza,S,P6AX1,VJKFY,CAJEV,235,00-01-1900 15:24,8507,VC4,F,"12.989944,77.472444",State,Bengaluru,Karnataka
2430,Magadi Road (P6) Plaza,S,P6AX1,RYTMA,CPJAZ,235,00-01-1900 08:16,95241,VC5,T,"12.989944,77.472444",State,Bengaluru,Karnataka
2431,Magadi Road (P6) Plaza,S,P6AX1,GTEFY,ZHMIB,235,00-01-1900 11:16,662,VC4,F,"12.989944,77.472444",State,Bengaluru,Karnataka
2432,Magadi Road (P6) Plaza,S,P6BX1,CODOQ,PRMJH,50,00-01-1900 17:35,1361,VC4,T,"12.989944,77.472444",State,Bengaluru,Karnataka
2433,Magadi Road (P6) Plaza,S,P6BX1,TYQEE,OAKWX,50,00-01-1900 10:21,72469,VC4,F,"12.989944,77.472444",State,Bengaluru,Karnataka
2434,Magadi Road (P6) Plaza,S,P6BX1,ZVBLE,EDPNO,50,00-01-1900 07:37,73,VC5,T,"12.989944,77.472444",State,Bengaluru,Karnataka
2435,Magadi Road (P6) Plaza,S,P6BX1,XWKAO,KTGWQ,50,00-01-1900 09:25,134004,VC4,F,"12.989944,77.472444",State,Bengaluru,Karnataka
2436,Magadi Road (P6) Plaza,S,P6AX1,CLWQR,FTLLW,65,00-01-1900 14:28,51005,VC4,F,"12.989944,77.472444",State,Bengaluru,Karnataka
