SlNo.,merchant_name,direction,lane,tag_id,vehicle_regn_number,txn_amount,initiated_time,inn_rr_time_sec,vehicle_class_code,vehicle_comvehicle,geocode,merchant_sub_type,city,state
37666,Mysore Road (P5) Plaza,S,P5CX1,JUHTQ,GGQQO,170,00-01-1900 14:33,98317,VC4,F,"12.903583,77.470028",State,Bengaluru,Karnataka
37726,Mysore Road (P5) Plaza,S,P5DX1,QHOQH,QNQUC,115,00-01-1900 17:37,111,VC4,F,"12.903583,77.470028",State,Bengaluru,Karnataka
37728,Mysore Road (P5) Plaza,S,P5BX1,QACJC,FIHZK,170,00-01-1900 10:54,219,VC4,F,"12.903583,77.470028",State,Bengaluru,Karnataka
37739,Mysore Road (P5) Plaza,S,P5BX2,KTFNW,LCFRW,65,00-01-1900 15:44,3836,VC4,F,"12.903583,77.470028",State,Bengaluru,Karnataka
37750,Mysore Road (P5) Plaza,S,P5DX1,HOKCR,HWXEA,115,00-01-1900 20:09,116,VC4,F,"12.903583,77.470028",State,Bengaluru,Karnataka
37758,Mysore Road (P5) Plaza,S,P5CX1,MOGHR,AFDSO,170,00-01-1900 16:31,153,VC4,F,"12.903583,77.470028",State,Bengaluru,Karnataka
37805,Mysore Road (P5) Plaza,S,P5BX2,EDISV,PSWKT,30,00-01-1900 08:08,4656,VC4,F,"12.903583,77.470028",State,Bengaluru,Karnataka
37857,Mysore Road (P5) Plaza,S,P5BX1,HVDOL,IEWOG,100,00-01-1900 14:48,8475,VC4,F,"12.903583,77.470028",State,Bengaluru,Karnataka
37869,Mysore Road (P5) Plaza,S,P5BX3,RFGWH,UUXVP,170,00-01-1900 23:23,139,VC20,F,"12.903583,77.470028",State,Bengaluru,Karnataka
37909,Mysore Road (P5) Plaza,S,P5BX1,CHUID,NMLNC,110,00-01-1900 10:19,98,VC4,F,"12.903583,77.470028",State,Bengaluru,Karnataka
39421,Mysore Road (P5) Plaza,S,P5AX1,XLLWO,LGBRN,65,00-01-1900 07:52,145149,VC4,F,"12.903583,77.470028",State,Bengaluru,Karnataka
39427,Mysore Road (P5) Plaza,S,P5DX1,EGEXD,ARTGW,690,00-01-1900 22:44,207,VC13,T,"12.903583,77.470028",State,Bengaluru,Karnataka
39443,Mysore Road (P5) Plaza,S,P5BX1,XYABE,BKSFJ,65,00-01-1900 15:43,4097,VC20,T,"12.903583,77.470028",State,Bengaluru,Karnataka
39520,Mysore Road (P5) Plaza,S,P5BX2,ZSZVS,KNWJZ,30,00-01-1900 09:05,2756,VC4,F,"12.903583,77.470028",State,Bengaluru,Karnataka
39530,Mysore Road (P5) Plaza,S,P5CX1,TTEPD,TWWSO,115,00-01-1900 16:03,2260,VC9,T,"12.903583,77.470028",State,Bengaluru,Karnataka
39551,Mysore Road (P5) Plaza,S,P5BX3,YIYIM,PXXCV,35,00-01-1900 19:09,105609,VC4,T,"12.903583,77.470028",State,Bengaluru,Karnataka
39606,Mysore Road (P5) Plaza,S,P5BX2,YZOBQ,AWTMW,65,00-01-1900 18:56,91509,VC20,T,"12.903583,77.470028",State,Bengaluru,Karnataka
39621,Mysore Road (P5) Plaza,S,P5AX1,OIQTD,IOEHX,115,00-01-1900 08:53,3352,VC4,F,"12.903583,77.470028",State,Bengaluru,Karnataka
39632,Mysore Road (P5) Plaza,S,P5CX1,KCGQS,IDNSX,170,00-01-1900 19:09,95,VC4,F,"12.903583,77.470028",State,Bengaluru,Karnataka
39646,Mysore Road (P5) Plaza,S,P5BX2,MYECJ,PFUWE,180,00-01-1900 19:37,115,VC5,T,"12.903583,77.470028",State,Bengaluru,Karnataka
39671,Mysore Road (P5) Plaza,S,P5AX2,JLPXE,JAREG,217,00-01-1900 14:43,8792,VC10,T,"12.903583,77.470028",State,Bengaluru,Karnataka
39672,Mysore Road (P5) Plaza,S,P5BX3,URLDW,NWBJK,110,00-01-1900 08:50,3572,VC4,F,"12.903583,77.470028",State,Bengaluru,Karnataka
41620,Mysore Road (P5) Plaza,S,P5BX2,YXWPN,LNZYO,180,00-01-1900 10:00,451,VC5,T,"12.903583,77.470028",State,Bengaluru,Karnataka
41657,Mysore Road (P5) Plaza,S,P5BX3,OXAAU,CGMJD,188,00-01-1900 08:30,174964,VC7,T,"12.903583,77.470028",State,Bengaluru,Karnataka
41666,Mysore Road (P5) Plaza,S,P5BX1,KHHQB,YPQDU,100,00-01-1900 14:25,10118,VC4,F,"12.903583,77.470028",State,Bengaluru,Karnataka
41756,Mysore Road (P5) Plaza,S,P5BX1,ZEHPQ,AHHPV,170,00-01-1900 16:25,306,VC4,T,"12.903583,77.470028",State,Bengaluru,Karnataka
41797,Mysore Road (P5) Plaza,S,P5CX1,OLZJS,BVAPE,170,00-01-1900 19:40,97858,VC4,F,"12.903583,77.470028",State,Bengaluru,Karnataka
41891,Mysore Road (P5) Plaza,S,P5BX2,UBCEO,FGXHB,100,00-01-1900 10:41,175,VC4,T,"12.903583,77.470028",State,Bengaluru,Karnataka
41922,Mysore Road (P5) Plaza,S,P5BX2,JYFHE,BRXUN,65,00-01-1900 09:42,1350,VC4,F,"12.903583,77.470028",State,Bengaluru,Karnataka
42040,Mysore Road (P5) Plaza,S,P5BX1,UKQQD,JCWMY,110,00-01-1900 09:00,3048,VC4,T,"12.903583,77.470028",State,Bengaluru,Karnataka
42049,Mysore Road (P5) Plaza,S,P5BX3,XGXVH,LVKHR,170,00-01-1900 17:47,143,VC4,F,"12.903583,77.470028",State,Bengaluru,Karnataka
42235,Mysore Road (P5) Plaza,S,P5BX3,WFDWN,XYNMO,180,00-01-1900 08:34,4205,VC5,T,"12.903583,77.470028",State,Bengaluru,Karnataka
42293,Mysore Road (P5) Plaza,S,P5BX2,JCFUK,BGLTD,30,00-01-1900 21:29,141,VC4,F,"12.903583,77.470028",State,Bengaluru,Karnataka
42368,Mysore Road (P5) Plaza,S,P5BX3,KKVBX,VIZAR,170,00-01-1900 08:19,205626,VC4,F,"12.903583,77.470028",State,Bengaluru,Karnataka
42448,Mysore Road (P5) Plaza,S,P5AX2,WTBJM,FXVDI,115,00-01-1900 15:26,5343,VC4,F,"12.903583,77.470028",State,Bengaluru,Karnataka
42547,Mysore Road (P5) Plaza,S,P5CX1,AAIRG,GEDOZ,110,00-01-1900 19:47,158,VC4,F,"12.903583,77.470028",State,Bengaluru,Karnataka
42639,Mysore Road (P5) Plaza,S,P5BX2,ADYIO,ZUTEZ,180,00-01-1900 14:23,10266,VC5,T,"12.903583,77.470028",State,Bengaluru,Karnataka
42690,Mysore Road (P5) Plaza,S,P5BX1,VNTQX,ZFCYX,65,00-01-1900 14:38,8925,VC4,F,"12.903583,77.470028",State,Bengaluru,Karnataka
42699,Mysore Road (P5) Plaza,S,P5BX2,YQNBQ,BGBBC,100,00-01-1900 09:13,2487,VC4,F,"12.903583,77.470028",State,Bengaluru,Karnataka
42702,Mysore Road (P5) Plaza,S,P5BX1,UQDOY,XJFER,30,00-01-1900 09:10,194849,VC4,F,"12.903583,77.470028",State,Bengaluru,Karnataka
42754,Mysore Road (P5) Plaza,S,P5BX2,CETAD,NJYQM,188,00-01-1900 14:22,10542,VC10,T,"12.903583,77.470028",State,Bengaluru,Karnataka
