SlNo.,merchant_name,direction,lane,tag_id,vehicle_regn_number,txn_amount,initiated_time,inn_rr_time_sec,vehicle_class_code,vehicle_comvehicle,geocode,merchant_sub_type,city,state
81351,Nelamangala Toll Plaza,E,Lane7,FUVXV,VPFEP,55,00-01-1900 13:40,407,VC4,F,"13.0924871,77.3944374",National,Bangalore Rural,Karnataka
81352,Nelamangala Toll Plaza,E,Lane7,KDKAZ,ESMAO,200,00-01-1900 06:05,371,VC10,T,"13.0924871,77.3944374",National,Bangalore Rural,Karnataka
81355,Nelamangala Toll Plaza,W,Lane5,RQKRX,IOAFB,55,00-01-1900 17:04,369,VC4,F,"13.0924871,77.3944374",National,Bangalore Rural,Karnataka
81358,Nelamangala Toll Plaza,W,Lane4,LXIXH,IICUB,30,00-01-1900 00:12,424,VC4,F,"13.0924871,77.3944374",National,Bangalore Rural,Karnataka
81363,Nelamangala Toll Plaza,E,Lane6,EIZDH,CZMII,55,00-01-1900 23:52,374,VC4,F,"13.0924871,77.3944374",National,Bangalore Rural,Karnataka
81365,Nelamangala Toll Plaza,W,Lane2,RCKRM,RXNUU,320,00-01-1900 19:46,420,VC11,T,"13.0924871,77.3944374",National,Bangalore Rural,Karnataka
81370,Nelamangala Toll Plaza,E,Lane9,GNAEX,BGLJJ,55,00-01-1900 11:52,419,VC4,F,"13.0924871,77.3944374",National,Bangalore Rural,Karnataka
81371,Nelamangala Toll Plaza,E,Lane8,FJLXW,EGZRN,55,00-01-1900 23:48,405,VC4,F,"13.0924871,77.3944374",National,Bangalore Rural,Karnataka
81378,Nelamangala Toll Plaza,E,Lane8,RLLCI,DHQVI,30,00-01-1900 01:49,6134,VC4,F,"13.0924871,77.3944374",National,Bangalore Rural,Karnataka
81379,Nelamangala Toll Plaza,W,Lane5,ZDUZN,CUWWR,30,00-01-1900 19:06,383,VC4,T,"13.0924871,77.3944374",National,Bangalore Rural,Karnataka
81387,Nelamangala Toll Plaza,E,Lane10,KKTFI,KLXXV,200,00-01-1900 11:25,171,VC10,T,"13.0924871,77.3944374",National,Bangalore Rural,Karnataka
81390,Nelamangala Toll Plaza,E,Lane7,ARCGB,QMSTV,320,00-01-1900 01:44,367,VC13,T,"13.0924871,77.3944374",National,Bangalore Rural,Karnataka
81396,Nelamangala Toll Plaza,E,Lane6,NEDFJ,TUJJN,30,00-01-1900 18:25,401,VC4,F,"13.0924871,77.3944374",National,Bangalore Rural,Karnataka
81401,Nelamangala Toll Plaza,E,Lane9,KVKYF,KHHJZ,55,00-01-1900 19:06,386,VC4,F,"13.0924871,77.3944374",National,Bangalore Rural,Karnataka
81408,Nelamangala Toll Plaza,E,Lane7,PMNAJ,IBTQU,30,00-01-1900 13:06,376,VC4,F,"13.0924871,77.3944374",National,Bangalore Rural,Karnataka
81410,Nelamangala Toll Plaza,E,Lane8,IIZDR,QJWOJ,55,00-01-1900 00:06,366,VC4,F,"13.0924871,77.3944374",National,Bangalore Rural,Karnataka
81420,Nelamangala Toll Plaza,E,Lane9,WLYLW,UPNPN,30,00-01-1900 12:34,1276,VC4,F,"13.0924871,77.3944374",National,Bangalore Rural,Karnataka
81424,Nelamangala Toll Plaza,E,Lane6,BZGRQ,OLYEW,30,00-01-1900 16:42,404,VC4,F,"13.0924871,77.3944374",National,Bangalore Rural,Karnataka
81428,Nelamangala Toll Plaza,W,Lane3,THYCA,DVCXL,55,00-01-1900 06:38,382,VC4,F,"13.0924871,77.3944374",National,Bangalore Rural,Karnataka
81431,Nelamangala Toll Plaza,E,Lane7,PMXEG,ZNMVJ,100,00-01-1900 06:38,406,VC9,T,"13.0924871,77.3944374",National,Bangalore Rural,Karnataka
81433,Nelamangala Toll Plaza,E,Lane7,HTOEG,ORNLF,30,00-01-1900 19:19,416,VC4,F,"13.0924871,77.3944374",National,Bangalore Rural,Karnataka
