SlNo.,merchant_name,direction,lane,tag_id,vehicle_regn_number,txn_amount,initiated_time,inn_rr_time_sec,vehicle_class_code,vehicle_comvehicle,geocode,merchant_sub_type,city,state
500,Tumkur Road (P7) Toll,S,P7X1,TCWZV,AIIFO,115,00-01-1900 14:45,8789,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
527,Tumkur Road (P7) Toll,S,P7X4,ZUBXN,QNQCW,115,00-01-1900 09:24,140,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
568,Tumkur Road (P7) Toll,S,P7X3,ZQBOU,VHRTO,50,00-01-1900 06:38,112570,VC20,T,"13.042389,77.475278",State,Bengaluru,Karnataka
723,Tumkur Road (P7) Toll,S,P7X4,RLFYM,MYMKF,285,00-01-1900 11:00,285,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
793,Tumkur Road (P7) Toll,S,P7X7,YVFGI,ZCSKK,230,00-01-1900 16:58,605,VC11,T,"13.042389,77.475278",State,Bengaluru,Karnataka
1030,Tumkur Road (P7) Toll,S,P7X2,QEANB,FGULE,50,00-01-1900 17:59,156,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
1045,Tumkur Road (P7) Toll,S,P7X2,VWHTJ,GMXEG,1100,00-01-1900 00:58,73,VC12,T,"13.042389,77.475278",State,Bengaluru,Karnataka
1087,Tumkur Road (P7) Toll,S,P7X3,INQOR,UYDXR,50,00-01-1900 07:30,155790,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
1198,Tumkur Road (P7) Toll,S,P7X4,OBCRC,JBWFT,115,00-01-1900 17:28,63797,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
1364,Tumkur Road (P7) Toll,S,P7X3,RSBGD,PLAEC,180,00-01-1900 07:43,208,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
1443,Tumkur Road (P7) Toll,S,P7X2,BXTBA,GFVEE,50,00-01-1900 20:03,166,VC20,T,"13.042389,77.475278",State,Bengaluru,Karnataka
1526,Tumkur Road (P7) Toll,S,P7X2,QWYPU,WLLNC,50,00-01-1900 19:54,186,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
1553,Tumkur Road (P7) Toll,S,P7X1,CWLMH,FLBWL,94,00-01-1900 09:40,160,VC10,T,"13.042389,77.475278",State,Bengaluru,Karnataka
1628,Tumkur Road (P7) Toll,S,P7X4,ZTVEH,YGZMA,285,00-01-1900 15:13,6360,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
1783,Tumkur Road (P7) Toll,S,P7X1,UUOZQ,YMGOI,115,00-01-1900 15:22,6211,VC4,T,"13.042389,77.475278",State,Bengaluru,Karnataka
1962,Tumkur Road (P7) Toll,S,P7X4,DLHMU,JBVFH,50,00-01-1900 07:31,164043,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
2032,Tumkur Road (P7) Toll,S,P7X4,FPRHV,QWKNQ,50,00-01-1900 22:17,148,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
2043,Tumkur Road (P7) Toll,S,P7X2,FQIII,EOHDZ,115,00-01-1900 17:13,195,VC4,T,"13.042389,77.475278",State,Bengaluru,Karnataka
2093,Tumkur Road (P7) Toll,S,P7X1,WZCPB,CAHVC,50,00-01-1900 18:44,145,VC5,T,"13.042389,77.475278",State,Bengaluru,Karnataka
2160,Tumkur Road (P7) Toll,S,P7X2,GHGHT,WKJAA,305,00-01-1900 15:04,7357,VC5,T,"13.042389,77.475278",State,Bengaluru,Karnataka
2229,Tumkur Road (P7) Toll,S,P7X1,CRGEC,CXHML,115,00-01-1900 14:59,7563,VC4,F,"13.042389,77.475278",State,Bengaluru,Karnataka
2259,Tumkur Road (P7) Toll,S,P7X7,EGJRG,GSMKK,195,00-01-1900 16:40,1364,VC5,T,"13.042389,77.475278",State,Bengaluru,Karnataka
